"Function","Effective Time","Spin Time","Overhead Time","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"jdk::internal::math::FDBigInteger::valueOfMulPow52","0.0748009","0","0","0.044869","[Compiled Java code]","jdk::internal::math::FDBigInteger::valueOfMulPow52(long, int, int)","FDBigInteger.java","0x1303d628520"
"NtFreeVirtualMemory","0.0303872","0","0","0.0303872","ntdll.dll","NtFreeVirtualMemory","[Unknown]","0x18009f720"
"func@0x18069a4a0","0.0193728","0","0","0.0193728","jvm.dll","func@0x18069a4a0","[Unknown]","0x18069a4a0"
"func@0x180293de0","0.0318292","0","0","0.0192878","jvm.dll","func@0x180293de0","[Unknown]","0x180293de0"
"java::lang::String::subSequence","0.0253598","0","0","0.0159338","[Compiled Java code]","java::lang::String::subSequence(int, int)","String.java","0x1303d60d520"
"func@0x1801ef910","0.0158436","0","0","0.0158436","jvm.dll","func@0x1801ef910","[Unknown]","0x1801ef910"
"RtlQueryPerformanceCounter","0.0156881","0","0","0.0156881","ntdll.dll","RtlQueryPerformanceCounter","[Unknown]","0x1800104c0"
"java::lang::AbstractStringBuilder::appendChars","0.0156818","0","0","0.0156818","[Compiled Java code]","java::lang::AbstractStringBuilder::appendChars(char[], int, int)","AbstractStringBuilder.java","0x1303d6335a0"
"java::io::BufferedReader::readLine","0.0904343","0","0","0.0156571","[Compiled Java code]","java::io::BufferedReader::readLine(boolean, boolean[])","BufferedReader.java","0x1303d630340"
"java::util::Arrays::copyOf","0.0292781","0","0","0.0155681","[Compiled Java code]","java::util::Arrays::copyOf(byte[], int)","Arrays.java","0x1303d65c240"
"Java_java_io_FileInputStream_readBytes","0.0150599","0","0","0.0150599","java.dll","Java_java_io_FileInputStream_readBytes","[Unknown]","0x1800020d8"
"jdk::internal::math::FDBigInteger::leftInplaceSub","0.015017","0","0","0.015017","[Compiled Java code]","jdk::internal::math::FDBigInteger::leftInplaceSub(jdk::internal::math::FDBigInteger)","FDBigInteger.java","0x1303d623e00"
"java::lang::String::charAt","0.0149897","0","0","0.0149897","[Compiled Java code]","java::lang::String::charAt(int)","String.java","0x1303d600980"
"java::lang::StringCoding::implEncodeAsciiArray","0.0149635","0","0","0.0149635","[Compiled Java code]","java::lang::StringCoding::implEncodeAsciiArray(char[], int, byte[], int, int)","StringCoding.java","0x1303d6c8ec0"
"func@0x180247fcf","0","0.0149529","0","0.0149529","jvm.dll","func@0x180247fcf","[Unknown]","0x180247fcf"
"java::lang::StringBuilder::append","0.0597173","0","0","0.0147575","[Compiled Java code]","java::lang::StringBuilder::append(char[], int, int)","StringBuilder.java","0x1303d6748a0"
"func@0x18036c940","0.0144947","0","0","0.0144947","jvm.dll","func@0x18036c940","[Unknown]","0x18036c940"
"func@0x1803701a0","0.259261","0","0","0.0141574","jvm.dll","func@0x1803701a0","[Unknown]","0x1803701a0"
"func@0x1803cf6e0","0.0140748","1.03494e-05","0","0.0140852","jvm.dll","func@0x1803cf6e0","[Unknown]","0x1803cf6e0"
"func@0x180670e50","0.013958","0","0","0.013958","jvm.dll","func@0x180670e50","[Unknown]","0x180670e50"
"func@0x18031d110","0.0138925","0","0","0.0138925","jvm.dll","func@0x18031d110","[Unknown]","0x18031d110"
"func@0x18017f4f0","0.0137099","0","0","0.0137099","jvm.dll","func@0x18017f4f0","[Unknown]","0x18017f4f0"
"func@0x18006891e","0.0129729","0","0","0.0129729","KERNELBASE.dll","func@0x18006891e","[Unknown]","0x18006891e"
"func@0x180351970","0.0128771","0","0","0.0128771","jvm.dll","func@0x180351970","[Unknown]","0x180351970"
"func@0x1806a495f","0.0126412","0","0","0.0126412","jvm.dll","func@0x1806a495f","[Unknown]","0x1806a495f"
"func@0x1807c5130","0.0125414","0","0","0.0125414","jvm.dll","func@0x1807c5130","[Unknown]","0x1807c5130"
